Team,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team_1,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
Team_1,P088,Participant_88,user88@university.edu,FIFA,4,Defender,92,Leader
Team_1,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
Team_1,P029,Participant_29,user29@university.edu,Basketball,5,Supporter,77,Balanced
Team_1,P063,Participant_63,user63@university.edu,Chess,8,Defender,60,Thinker
Team_2,P009,Participant_9,user9@university.edu,CS:GO,6,Supporter,62,Thinker
Team_2,P097,Participant_97,user97@university.edu,FIFA,3,Attacker,96,Leader
Team_2,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
Team_2,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
Team_2,P092,Participant_92,user92@university.edu,Basketball,7,Attacker,70,Balanced
Team_1,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
Team_1,P022,Participant_22,user22@university.edu,Chess,9,Attacker,97,Leader
Team_1,P078,Participant_78,user78@university.edu,FIFA,6,Defender,51,Thinker
Team_1,P026,Participant_26,user26@university.edu,Chess,8,Strategist,74,Balanced
Team_1,P047,Participant_47,user47@university.edu,DOTA 2,10,Attacker,78,Balanced
Team_1,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
Team_1,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
Team_1,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
Team_1,P028,Participant_28,user28@university.edu,CS:GO,8,Defender,90,Leader
Team_1,P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,70,Balanced
Team_4,P096,Participant_96,user96@university.edu,DOTA 2,8,Strategist,56,Thinker
Team_4,P042,Participant_42,user42@university.edu,DOTA 2,7,Attacker,53,Thinker
Team_4,P025,Participant_25,user25@university.edu,FIFA,9,Coordinator,100,Leader
