Team,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team 1,P100,Participant_100,user100@university.edu,CS:GO,7,Coordinator,97,Leader
Team 1,P027,Participant_27,user27@university.edu,Chess,6,Attacker,53,Thinker
Team 1,P092,Participant_92,user92@university.edu,Basketball,7,Attacker,70,Balanced
Team 1,2004,kavindya,kavindya@gmail.com,chess,6,strategist,80,Balanced
Team 1,P033,Participant_33,user33@university.edu,FIFA,7,Defender,65,Thinker
Team 2,P088,Participant_88,user88@university.edu,FIFA,4,Defender,92,Leader
Team 2,P042,Participant_42,user42@university.edu,DOTA 2,7,Attacker,53,Thinker
Team 2,P014,Participant_14,user14@university.edu,FIFA,3,Supporter,73,Balanced
Team 2,P095,Participant_95,user95@university.edu,CS:GO,2,Coordinator,84,Balanced
Team 2,P031,Participant_31,user31@university.edu,Basketball,8,Strategist,97,Leader
Team 3,P070,Participant_70,user70@university.edu,Basketball,1,Coordinator,96,Leader
Team 3,P086,Participant_86,user86@university.edu,FIFA,9,Strategist,89,Balanced
Team 3,P074,Participant_74,user74@university.edu,FIFA,3,Supporter,82,Balanced
Team 3,P064,Participant_64,user64@university.edu,CS:GO,6,Supporter,92,Leader
Team 3,P016,Participant_16,user16@university.edu,CS:GO,6,Strategist,90,Leader
Team 4,P043,Participant_43,user43@university.edu,DOTA 2,2,Defender,100,Leader
Team 4,P006,Participant_6,user6@university.edu,CS:GO,2,Strategist,57,Thinker
Team 4,P068,Participant_68,user68@university.edu,Chess,1,Defender,80,Balanced
Team 4,P053,Participant_53,user53@university.edu,DOTA 2,7,Defender,71,Balanced
Team 5,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
Team 5,P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,70,Balanced
Team 5,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
Team 6,P052,Participant_52,user52@university.edu,FIFA,2,Attacker,99,Leader
Team 6,P054,Participant_54,user54@university.edu,Valorant,8,Supporter,69,Thinker
Team 6,P059,Participant_59,user59@university.edu,DOTA 2,4,Supporter,79,Balanced
Team 6,P080,Participant_80,user80@university.edu,Basketball,1,Coordinator,82,Balanced
